Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00194145275619461,-0.0182530975285205,-0.00489380208564417,0,0,0,1.30774880707658,0.0104679258415776,1.2151111597938E-05,-0.000136884208294802,0.0126639768870947,2.48327849316574E-05,0.00473617302136576,0,0,0,0,0,0,package://Throwbot_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/base_link.STL,,Left-3;Right-2;Front-1;Back-2;Buttom-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wheel_left,8.2572837456496E-16,4.02455846426619E-16,-0.0150009270734002,0,0,0,0.207412192620305,0.000587794710562155,-2.79001268702755E-14,-8.89231380829826E-19,0.000587794710290637,-1.41533698474194E-18,0.00115682115581096,0,0,0,0,0,0,package://Throwbot_urdf/meshes/Wheel_left.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/Wheel_left.STL,,Wheel Back-1,Origin_left_wheel_system,Axis_left_wheel_system,left_wheel_system,continuous,0.1305,0.1125,-0.008,-1.5708,-0.95739,1.5708,base_link,0,0,1,50,5,,,,,,,,,,
front_left,-4.16333634234434E-17,6.31439345255558E-16,0.0152048423837706,0,0,0,0.217125377961488,0.000490311805364984,-1.77398785765337E-14,1.95560452690558E-19,0.000490297394860447,-1.14042098775052E-18,0.000960245066104418,0,0,0,0,0,0,package://Throwbot_urdf/meshes/front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/front_left.STL,,Wheel Front-6,Origin_front_left_wheel,,front_left_wheel,continuous,-0.12952,-0.18398,-0.030001,0,0,0.5601,Wheel_left,0,0,0,25,5,,,,,,,,,,
wheel_right,6.24500451351651E-17,-2.70616862252382E-15,-0.0150009270734001,0,0,0,0.207412192620304,0.000587794710562146,-2.82812984728036E-14,-4.82992205804824E-19,0.000587794710290077,-1.12791814190319E-18,0.00115682115581039,0,0,0,0,0,0,package://Throwbot_urdf/meshes/wheel_right.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/wheel_right.STL,,Wheel Back-8,Origin_right_wheel,Axis_right_wheel,right_wheel,continuous,-0.1305,0.1125,-0.008,-1.5708,-1.4974,-1.5708,base_link,0,0,1,50,5,,,,,,,,,,
front_wheel_right,-9.71445146547012E-17,7.18175519054398E-16,0.0152048423837706,0,0,0,0.217125377961488,0.000490311805365482,-1.75308579502056E-14,2.58996446532104E-19,0.000490297394859733,-1.68080163683409E-18,0.000960245066104202,0,0,0,0,0,0,package://Throwbot_urdf/meshes/front_wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/front_wheel_right.STL,,Wheel Front-5,Origin_right_wheel_front,,right_wheel_front,continuous,0.016489,0.22439,-0.030001,0,0,1.7974,wheel_right,0,0,0,25,5,,,,,,,,,,
Arm,0.0748524433421241,-5.55111512312578E-16,1.07135582556292E-17,0,0,0,0.160244443747562,0.000115768775605391,-6.09863722023096E-20,-5.39145143616527E-19,0.00121442026810451,-1.48079135617434E-10,0.00132805582485749,0,0,0,0,0,0,package://Throwbot_urdf/meshes/Arm.STL,0.972549019607843,0.945098039215686,0.780392156862745,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/Arm.STL,,Flipper-2;Flipper-1,Origin_arm,Axis_arm,arm,continuous,0,-0.1125,-0.008,1.5708,-0.78598,-1.5708,base_link,0,0,1,10,2,0,3.14,,,,,,,,
cam_rear,3.98694163187656E-05,-2.18994418986346E-05,0.00960724219329304,0,0,0,0.026441694751393,4.48821247529358E-06,-2.30867187434244E-11,-1.14833079764263E-08,4.12805875452281E-06,-2.08880374103012E-09,5.76402911005741E-06,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_rear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_rear.STL,,Camera 3-3,Origin_rear_cam,,rear_cam,fixed,-0.02,0.135,0.018,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
cam_left,3.9869416318768E-05,-2.18994418986372E-05,0.00960724219329306,0,0,0,0.026441694751393,4.48821247529358E-06,-2.30867187441037E-11,-1.14833079764265E-08,4.12805875452281E-06,-2.08880374103061E-09,5.76402911005741E-06,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_left.STL,,Camera 3-1,Origin_left_cam,,left_cam,fixed,0.096,0,-0.005,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
cam_right,3.98694159912305E-05,-2.18994424927383E-05,0.00960724219329304,0,0,0,0.026441694751393,4.48821247529288E-06,-2.30920854525675E-11,-1.14833080073286E-08,4.12805875452349E-06,-2.08880356991558E-09,5.7640291100574E-06,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_right.STL,,Camera 3-2,Origin_right_cam,,right_cam,fixed,-0.096,0,-0.005,1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
cam_front,-0.0109601305836812,-0.00152189944189864,0.00760724219329309,0,0,0,0.026441694751393,4.48821247529358E-06,-2.30867187429472E-11,-1.14833079764258E-08,4.12805875452281E-06,-2.08880374103213E-09,5.76402911005741E-06,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_front.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Throwbot_urdf/meshes/cam_front.STL,,Camera 3-4,Origin_front_cam,Axis_front_cam,front_cam,continuous,0,-0.1325,0.01,-1.6291,0,-3.1416,base_link,1,0,0,,,,,,,,,,,,
